=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:16:49.496 | 0x734D0FC4 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
19:16:49.533 | 0x734D0FC4 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "C:\\WINDOWS\\system32\\wsl.exe"
19:16:51.621 | 0x0001150C | vis=n | msrdc              | Button                             | "Show Details "
19:16:51.667 | 0x000114F2 | vis=n | msrdc              | TscShellContainerClass             | "RemoteApp"
19:16:51.756 | 0x00011504 | vis=n | msrdc              | Static                             | "Initiating remote connection..."
19:16:51.765 | 0x00011504 | vis=n | msrdc              | Static                             | "Configuring remote session..."
19:16:53.671 | 0x734D0FC4 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-WSLBELL"
19:17:05.320 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200E\u2068Oleksandra Suchova\u2069 \u2013 (4)"
19:17:05.321 | 0x00060F70 | vis=Y | Telegram           | Qt51519QWindowIcon                 | "\u200EOleksandra Suchova \u2013 (4)"
19:17:41.292 | 0x0017145E | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "HYDRAWIN-SPIKE-GUINEA-PIG"
19:19:18.907 | 0x0002158E | vis=n | Code               | Chrome_WidgetWin_1                 | "Visual Studio Code"
19:19:19.378 | 0x0002158E | vis=Y | Code               | Chrome_WidgetWin_1                 | "scratchpad - Visual Studio Code"
19:19:20.133 | 0x0002158E | vis=Y | Code               | Chrome_WidgetWin_1                 | "Welcome - scratchpad - Visual Studio Code"
19:19:54.320 | 0x01261246 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "Terminal"
